Bank,service,statistic,p-value,z
Bank of America Corp,Water quality,357.0,0.03501998883630856,
Bank of China Ltd,Animal-based energy,147.0,0.156475337761457,
Bank of China Ltd,Bio-remediation,168.0,0.306946256718888,
Bank of China Ltd,Buffering and attenuation of mass flows,157.0,0.22100603389621132,
Bank of China Ltd,Climate regulation,153.0,0.1935468486295479,
Bank of China Ltd,Dilution by atmosphere and ecosystems,153.0,0.1935468486295479,
Bank of China Ltd,Disease control,176.0,0.3773967761172583,
Bank of China Ltd,Fibres and other materials,152.0,0.1870217041891753,
Bank of China Ltd,Filtration,148.0,0.16230590557403607,
Bank of China Ltd,Flood and storm protection,149.0,0.1682760939219593,
Bank of China Ltd,Genetic materials,0.0,2.803058263748007e-06,
Bank of China Ltd,Ground water,164.0,0.27404489971576174,
Bank of China Ltd,Maintain nursery habitats,149.0,0.1682760939219593,
Bank of China Ltd,Mass stabilisation and erosion control,156.0,0.2139399039591246,
Bank of China Ltd,Mediation of sensory impacts,162.0,0.2582742420732513,
Bank of China Ltd,Pest control,179.0,0.40506823091221955,
Bank of China Ltd,Pollination,157.0,0.22100603389621132,
Bank of China Ltd,Soil quality,152.0,0.1870217041891753,
Bank of China Ltd,Surface water,156.0,0.2139399039591246,
Bank of China Ltd,Ventilation,166.0,0.2902772402081977,
Bank of China Ltd,Water flow maintenance,168.0,0.306946256718888,
Bank of China Ltd,Water quality,139.0,0.114827129318741,
Bank of Communications Co Ltd,Animal-based energy,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Bio-remediation,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Climate regulation,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Disease control,20.0,0.06804869055719684,
Bank of Communications Co Ltd,Fibres and other materials,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Filtration,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Flood and storm protection,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Genetic materials,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Ground water,21.0,0.07896965525006516,
Bank of Communications Co Ltd,Maintain nursery habitats,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,25.0,0.136047591368063,
Bank of Communications Co Ltd,Mediation of sensory impacts,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Pest control,20.0,0.06804869055719684,
Bank of Communications Co Ltd,Pollination,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Soil quality,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Surface water,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Ventilation,20.0,0.06804869055719684,
Bank of Communications Co Ltd,Water flow maintenance,22.0,0.09116917709038425,
Bank of Communications Co Ltd,Water quality,22.0,0.09116917709038425,
Bank of New York Mellon Corp,Animal-based energy,157.0,3.997914124241695e-05,
Bank of New York Mellon Corp,Bio-remediation,130.0,1.023872376683949e-05,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,138.0,1.5481962217489663e-05,
Bank of New York Mellon Corp,Climate regulation,197.0,0.0002528514023679849,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,190.0,0.00018584533597631534,
Bank of New York Mellon Corp,Disease control,120.0,6.034927620070478e-06,
Bank of New York Mellon Corp,Fibres and other materials,152.0,3.128854527111311e-05,
Bank of New York Mellon Corp,Filtration,136.0,1.397238407829762e-05,
Bank of New York Mellon Corp,Flood and storm protection,273.0,0.004787896061611942,
Bank of New York Mellon Corp,Genetic materials,365.0,0.06461755940752009,
Bank of New York Mellon Corp,Ground water,129.0,9.717253257260585e-06,
Bank of New York Mellon Corp,Maintain nursery habitats,285.0,0.007128135686831788,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,290.0,0.008369534379234413,
Bank of New York Mellon Corp,Mediation of sensory impacts,127.0,8.749211977438788e-06,
Bank of New York Mellon Corp,Pest control,109.0,3.3234273742310073e-06,
Bank of New York Mellon Corp,Pollination,134.0,1.2603428886780614e-05,
Bank of New York Mellon Corp,Soil quality,155.0,3.625962408596867e-05,
Bank of New York Mellon Corp,Surface water,112.0,3.916766738972005e-06,
Bank of New York Mellon Corp,Ventilation,122.0,6.7149142894679945e-06,
Bank of New York Mellon Corp,Water flow maintenance,124.0,7.4676158798837815e-06,
Bank of New York Mellon Corp,Water quality,216.0,0.0005650011388439968,
Barclays PLC,Animal-based energy,154.0,0.004181623566626758,
Barclays PLC,Bio-remediation,188.0,0.018755835260736313,
Barclays PLC,Buffering and attenuation of mass flows,180.0,0.013511538508946893,
Barclays PLC,Climate regulation,171.0,0.009172092634647374,
Barclays PLC,Dilution by atmosphere and ecosystems,163.0,0.006393811963466526,
Barclays PLC,Disease control,186.0,0.01730425970431901,
Barclays PLC,Fibres and other materials,179.0,0.012954820309016485,
Barclays PLC,Filtration,195.0,0.024678362195135372,
Barclays PLC,Flood and storm protection,162.0,0.006105127743467716,
Barclays PLC,Genetic materials,222.0,0.06384679803801128,
Barclays PLC,Ground water,186.0,0.01730425970431901,
Barclays PLC,Maintain nursery habitats,162.0,0.006105127743467716,
Barclays PLC,Mass stabilisation and erosion control,134.0,0.001515261079334975,
Barclays PLC,Mediation of sensory impacts,194.0,0.023746543544188696,
Barclays PLC,Pest control,184.0,0.01594974877108713,
Barclays PLC,Pollination,181.0,0.014088788643509313,
Barclays PLC,Soil quality,177.0,0.011900645124466157,
