Bank,service,statistic,p-value,z
Bank of America Corp,Water flow maintenance,317.0,0.011813095383688337,
Bank of America Corp,Water quality,314.0,0.010808906599865987,
Bank of China Ltd,Animal-based energy,26.0,4.5001160007438815e-05,
Bank of China Ltd,Bio-remediation,123.0,0.056409371083529385,
Bank of China Ltd,Buffering and attenuation of mass flows,82.0,0.005075028080092482,
Bank of China Ltd,Climate regulation,130.0,0.0781720578499054,
Bank of China Ltd,Dilution by atmosphere and ecosystems,136.0,0.10145137883645611,
Bank of China Ltd,Disease control,26.0,4.5001160007438815e-05,
Bank of China Ltd,Fibres and other materials,39.0,0.00015682947262790628,
Bank of China Ltd,Filtration,127.0,0.0681713067102337,
Bank of China Ltd,Flood and storm protection,140.0,0.11955286612220373,
Bank of China Ltd,Genetic materials,75.0,0.0030827258659772523,
Bank of China Ltd,Ground water,146.0,0.15078441087475614,
Bank of China Ltd,Maintain nursery habitats,0.0,2.803058263748007e-06,
Bank of China Ltd,Mass stabilisation and erosion control,281.0,0.9864578225111311,
Bank of China Ltd,Mediation of sensory impacts,116.0,0.03973025518794377,
Bank of China Ltd,Pest control,51.0,0.0004574787607796693,
Bank of China Ltd,Pollination,26.0,4.5001160007438815e-05,
Bank of China Ltd,Soil quality,114.0,0.035782543045599705,
Bank of China Ltd,Surface water,130.0,0.0781720578499054,
Bank of China Ltd,Ventilation,61.0,0.0010518076417120354,
Bank of China Ltd,Water flow maintenance,117.0,0.04183301363006,
Bank of China Ltd,Water quality,131.0,0.08174188614502959,
Bank of Communications Co Ltd,Animal-based energy,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Bio-remediation,11.0,0.0140280620746218,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Climate regulation,17.0,0.042189721296980245,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,17.0,0.042189721296980245,
Bank of Communications Co Ltd,Disease control,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Fibres and other materials,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Filtration,39.0,0.5,
Bank of Communications Co Ltd,Flood and storm protection,30.0,0.2400884449530385,
Bank of Communications Co Ltd,Genetic materials,8.0,0.007511169276553894,
Bank of Communications Co Ltd,Ground water,38.0,0.4687364611812376,
Bank of Communications Co Ltd,Maintain nursery habitats,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,40.0,0.5312635388187624,
Bank of Communications Co Ltd,Mediation of sensory impacts,34.0,0.3474433011862367,
Bank of Communications Co Ltd,Pest control,21.0,0.07896965525006516,
Bank of Communications Co Ltd,Pollination,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Soil quality,28.0,0.19409320260413893,
Bank of Communications Co Ltd,Surface water,37.0,0.437664624573961,
Bank of Communications Co Ltd,Ventilation,24.0,0.11965827061074763,
Bank of Communications Co Ltd,Water flow maintenance,13.0,0.020694702004574652,
Bank of Communications Co Ltd,Water quality,31.0,0.26514229841680476,
Bank of New York Mellon Corp,Animal-based energy,265.0,0.003635785788789291,
Bank of New York Mellon Corp,Bio-remediation,107.0,2.976740100468036e-06,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,259.0,0.00294210071952037,
Bank of New York Mellon Corp,Climate regulation,115.0,4.610603524268776e-06,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,486.0,0.4581753142886356,
Bank of New York Mellon Corp,Disease control,270.0,0.0043223644149039476,
Bank of New York Mellon Corp,Fibres and other materials,229.0,0.0009537419106399875,
Bank of New York Mellon Corp,Filtration,275.0,0.005122590959240555,
Bank of New York Mellon Corp,Flood and storm protection,262.0,0.003272447830850287,
Bank of New York Mellon Corp,Genetic materials,389.0,0.10803603991822353,
Bank of New York Mellon Corp,Ground water,369.0,0.07072073528915668,
Bank of New York Mellon Corp,Maintain nursery habitats,236.0,0.0012531496472388537,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,256.0,0.002642116798033867,
Bank of New York Mellon Corp,Mediation of sensory impacts,266.0,0.003764709346550466,
Bank of New York Mellon Corp,Pest control,245.0,0.0017639759153511595,
Bank of New York Mellon Corp,Pollination,270.0,0.0043223644149039476,
Bank of New York Mellon Corp,Soil quality,236.0,0.0012531496472388537,
Bank of New York Mellon Corp,Surface water,371.0,0.07393391593844761,
Bank of New York Mellon Corp,Ventilation,329.0,0.02635727534752301,
