Production process,Disturbances,Freshwater ecosystem use,GHG emissions,Marine ecosystem use,Non-GHG air pollutants,Other resource use,Soil pollutants,Solid waste,Terrestrial ecosystem use,Water pollutants,Water use
Hydropower production,0.0,1.0,0.8,0.0,0.0,0.0,0.8,0.0,1.0,0.8,1.0
Hydropower production,0.0,1.0,0.8,0.0,0.0,0.0,0.8,0.0,1.0,0.8,1.0
Hydropower production,0.0,1.0,0.8,0.0,0.0,0.0,0.8,0.0,1.0,0.8,1.0
Incomplete combustion,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8
Infrastructure builds,0.8,0.8,0.8,1.0,0.8,0.0,0.8,0.6,1.0,0.6,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure maintenance contracts,0.0,0.0,0.8,0.0,0.4,0.0,0.4,0.0,0.6,0.4,0.8
Integrated oil and gas,0.8,1.0,0.8,1.0,0.8,0.0,0.6,0.8,1.0,0.6,1.0
Iron extraction,0.8,0.0,0.8,0.0,0.8,0.0,0.0,0.0,1.0,0.0,1.0
Iron metal production,0.8,0.0,0.8,0.0,0.8,0.0,0.0,0.8,0.0,0.6,1.0
Jewellery production,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.6,0.0,0.6,0.0
Large-scale forestry,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0
Large-scale irrigated arable crops,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.8,1.0
Large-scale livestock (beef and dairy),0.0,0.0,0.8,0.0,0.0,0.0,0.6,0.0,1.0,0.6,1.0
Large-scale rainfed arable crops,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.0,1.0,0.8,0.0
Leisure facility provision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
"Life science, pharma and biotech manufacture",0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Life science, pharma and biotech manufacture",0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Life science, pharma and biotech manufacture",0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Life science, pharma and biotech tools and services",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
"Life science, pharma and biotech tools and services",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
"Life science, pharma and biotech tools and services",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Managed health care,0.0,0.0,0.8,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
"Manufacture of machinery, parts and equipment",0.6,0.0,0.8,0.0,0.6,0.0,0.8,0.8,0.0,0.8,0.8
Marine ports and services,0.8,1.0,0.8,1.0,0.0,0.0,0.8,0.6,0.8,0.8,0.0
Marine transportation,0.8,0.0,0.8,0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.0
Membrane technology,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metal processing,0.0,0.0,0.8,0.0,0.6,0.0,0.6,0.8,0.0,0.6,0.8
Mining,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,1.0,0.8,1.0
Mining,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,1.0,0.8,1.0
Mining,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,1.0,0.8,1.0
Mining,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,1.0,0.8,1.0
Mining,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,1.0,0.8,1.0
Mining,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,1.0,0.8,1.0
Mining,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,1.0,0.8,1.0
Natural fibre production,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.6,0.8,0.6,1.0
Natural fibre production,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.6,0.8,0.6,1.0
Natural gas combustion,0.0,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.8,1.0
Nuclear and thermal power stations,0.8,0.8,0.8,0.0,0.8,0.0,0.6,0.8,0.0,0.6,1.0
Nuclear and thermal power stations,0.8,0.8,0.8,0.0,0.8,0.0,0.6,0.8,0.0,0.6,1.0
Oil and gas drilling,0.8,0.8,0.8,1.0,0.8,0.0,0.8,0.8,0.8,0.8,1.0
Oil and gas exploration surveys,0.8,0.8,0.8,0.6,0.8,0.0,0.8,0.8,0.8,0.8,1.0
Oil and gas refining,0.0,0.0,0.8,0.0,0.8,0.0,0.4,0.0,0.0,0.4,1.0
