Bank,service,statistic,p-value,z
Bank of China Ltd,Mass stabilisation and erosion control,522275.0,0.0,
Bank of China Ltd,Mediation of sensory impacts,523205.0,0.0,
Bank of China Ltd,Pest control,513913.0,0.0,
Bank of China Ltd,Pollination,503976.0,0.0,
Bank of China Ltd,Soil quality,517897.0,0.0,
Bank of China Ltd,Surface water,520875.0,0.0,
Bank of China Ltd,Ventilation,521071.0,0.0,
Bank of China Ltd,Water flow maintenance,519225.0,0.0,
Bank of China Ltd,Water quality,517726.0,0.0,
Bank of Communications Co Ltd,Animal-based energy,270209.0,0.0,
Bank of Communications Co Ltd,Bio-remediation,268161.0,0.0,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,269416.0,0.0,
Bank of Communications Co Ltd,Climate regulation,265188.0,0.0,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,270693.0,0.0,
Bank of Communications Co Ltd,Disease control,269926.0,0.0,
Bank of Communications Co Ltd,Fibres and other materials,270880.0,0.0,
Bank of Communications Co Ltd,Filtration,266884.0,0.0,
Bank of Communications Co Ltd,Flood and storm protection,269533.0,0.0,
Bank of Communications Co Ltd,Genetic materials,261975.0,0.0,
Bank of Communications Co Ltd,Ground water,270458.0,0.0,
Bank of Communications Co Ltd,Maintain nursery habitats,274910.0,0.0,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,271164.0,0.0,
Bank of Communications Co Ltd,Mediation of sensory impacts,271387.0,0.0,
Bank of Communications Co Ltd,Pest control,269522.0,0.0,
Bank of Communications Co Ltd,Pollination,270066.0,0.0,
Bank of Communications Co Ltd,Soil quality,269806.0,0.0,
Bank of Communications Co Ltd,Surface water,270483.0,0.0,
Bank of Communications Co Ltd,Ventilation,271250.0,0.0,
Bank of Communications Co Ltd,Water flow maintenance,270469.0,0.0,
Bank of Communications Co Ltd,Water quality,266647.0,0.0,
Bank of New York Mellon Corp,Animal-based energy,9862191.0,5.596576622067206e-18,
Bank of New York Mellon Corp,Bio-remediation,9857520.0,4.321521994550067e-18,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,9828551.0,8.529489550551817e-19,
Bank of New York Mellon Corp,Climate regulation,9872579.0,9.91520433451904e-18,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,9879875.0,1.4779100305465603e-17,
Bank of New York Mellon Corp,Disease control,9841339.0,1.752988616297095e-18,
Bank of New York Mellon Corp,Fibres and other materials,9869468.0,8.358156239123227e-18,
Bank of New York Mellon Corp,Filtration,9831443.0,1.0044307511597377e-18,
Bank of New York Mellon Corp,Flood and storm protection,9877312.0,1.2848638112033847e-17,
Bank of New York Mellon Corp,Genetic materials,9785025.0,7.000089930684055e-20,
Bank of New York Mellon Corp,Ground water,9820310.0,5.343509428269801e-19,
Bank of New York Mellon Corp,Maintain nursery habitats,9847531.0,2.4789079854659195e-18,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,9879180.0,1.4229008133874706e-17,
Bank of New York Mellon Corp,Mediation of sensory impacts,9827693.0,8.125163605341787e-19,
Bank of New York Mellon Corp,Pest control,9826977.0,7.802290624857703e-19,
Bank of New York Mellon Corp,Pollination,9838718.0,1.5131593396340937e-18,
Bank of New York Mellon Corp,Soil quality,9830692.0,9.627136418510991e-19,
Bank of New York Mellon Corp,Surface water,9837371.0,1.4028200193075482e-18,
Bank of New York Mellon Corp,Ventilation,9854363.0,3.6268924354942785e-18,
Bank of New York Mellon Corp,Water flow maintenance,9856824.0,4.157896958838599e-18,
Bank of New York Mellon Corp,Water quality,9866197.0,6.981121961299395e-18,
Barclays PLC,Animal-based energy,5019629.0,1.3297156143220215e-182,
Barclays PLC,Bio-remediation,5058199.0,5.740523473971071e-179,
Barclays PLC,Buffering and attenuation of mass flows,4990860.0,2.4450507815161508e-185,
Barclays PLC,Climate regulation,5054149.0,2.393178884395047e-179,
Barclays PLC,Dilution by atmosphere and ecosystems,5061434.0,1.1539083717918503e-178,
Barclays PLC,Disease control,4995252.0,6.415402417513468e-185,
Barclays PLC,Fibres and other materials,4996039.0,7.625042806319569e-185,
Barclays PLC,Filtration,5056747.0,4.195364564161916e-179,
Barclays PLC,Flood and storm protection,5063985.0,2.000304785641885e-178,
Barclays PLC,Genetic materials,4916310.0,1.6006410153976177e-192,
Barclays PLC,Ground water,5074611.0,1.970534948918502e-177,
Barclays PLC,Maintain nursery habitats,4976450.0,1.0242704470057474e-186,
Barclays PLC,Mass stabilisation and erosion control,5076736.0,3.1111944898069023e-177,
Barclays PLC,Mediation of sensory impacts,5064548.0,2.2584195376029033e-178,
Barclays PLC,Pest control,4959241.0,2.2811707617745892e-188,
Barclays PLC,Pollination,5014514.0,4.354156818219116e-183,
Barclays PLC,Soil quality,4977359.0,1.2516550791117494e-186,
Barclays PLC,Surface water,5062159.0,1.349244697728878e-178,
Barclays PLC,Ventilation,5067956.0,4.7064795637728414e-178,
Barclays PLC,Water flow maintenance,5099421.0,4.011628764404523e-175,
Barclays PLC,Water quality,5055529.0,3.2247366549055815e-179,
China Construction Bank Corp,Animal-based energy,286705.0,0.0,
China Construction Bank Corp,Bio-remediation,278840.0,0.0,
China Construction Bank Corp,Buffering and attenuation of mass flows,280462.0,0.0,
China Construction Bank Corp,Climate regulation,275656.0,0.0,
China Construction Bank Corp,Dilution by atmosphere and ecosystems,278294.0,0.0,
China Construction Bank Corp,Disease control,284342.0,0.0,
China Construction Bank Corp,Fibres and other materials,282659.0,0.0,
