Bank,region,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
System,AT,4.548117218371371,599.5561597938834,46.04618528835501,709.7513040260485,129.02391209272133,4.876734083195295,59.364577943126676,415.69463734040045,1067.0333638601203,0.02833244619885553,913.1138068581434,0.0013910182957503738,1391.1777465917257,315.4935805341729,53.31141436528811,3.562874965025152,97.84966515274296,967.8555019445506,85.0991882729119,740.6166220164976,451.5711727731113
System,AU,500.60565937053076,13999.383628691947,862.9758314599338,26337.355587841208,3572.9967799780943,648.4659182630999,1101.2552154002076,10505.851236568515,21788.866666681024,36.08386374989009,39036.12889216328,8.647271572177457,40463.713396828534,6911.653783533956,1503.6633175057011,475.93044868627084,2901.657363579362,39227.537186582216,2381.327677668079,32828.59345910358,11588.980488656913
System,BE,5.592436011732309,461.5625759306554,37.43069591819051,653.9277314258338,122.9538678981717,15.438063401583756,43.20408355188699,256.8083846082232,850.377954823204,0.14689933440425124,767.3792664513079,0.10241182945604982,1018.145802503001,259.223814400822,42.43440519311827,7.542376171802102,97.20348371056066,714.7167654986056,81.97153248223529,403.26788372025754,388.00550700389664
System,BG,0.2457959669378984,15.845765203547886,3.211241131073,18.715965288153033,4.721765664510421,0.3340138625520902,1.1818398731596018,8.831906644350378,27.733148646619817,0.002222165385827889,25.433047532494058,0.0015435130465574134,40.00080835800641,11.158061247674965,1.98340463996581,0.23700011510429073,5.747979302101613,24.335838695403297,3.357843794872134,13.45337297552092,10.376274894331505
System,BR,105.89258581815652,4444.340130731763,258.34093117288046,3048.564779081571,744.5594544208359,122.56280419072615,305.8582342558859,2164.007089395452,4113.000943237408,0.1569232622833988,5037.3460548116645,0.5423180228406734,7557.482844012723,1966.205326832722,351.88517393533743,94.27518549411705,612.5034025123967,4535.802748247449,586.5748834667179,2511.573677086916,2162.5040445028612
System,CA,307.62007606403165,20372.08145022019,901.1461889526926,25859.254678802543,3087.843185489795,426.22706802027034,836.0530065023561,10558.57144756841,33505.4128184963,1.650413563126546,33121.28840877991,4.026059604252196,49751.304506534434,7304.435793138908,1884.5887615995234,272.08084703866837,2972.7775065223727,32899.8374067889,2520.2797522865235,17465.17470937754,15982.1738134945
System,CH,1149.7058308345413,16867.210657501568,3754.5943823572807,26434.73488688355,5429.930644595317,1523.7196185872726,2096.639755502579,13723.337562305795,36161.997470665505,45.93108192778582,33888.33918253716,0.16954287710322563,38910.9134364838,7851.537656269089,3837.3929453944857,1137.1860037372355,7278.285371668995,34979.8657651164,2693.017478515852,28058.41220831868,20282.66596875479
System,CN,24036.82511297961,324711.42385216395,23928.86568919488,346554.7487882325,291138.43047770945,32986.309475392976,81042.49617199732,302084.19469903695,581716.429884377,217.60553540406036,1149893.2555705046,1549.8011034377378,575327.0008590403,323153.5687359551,40350.524780903565,23522.114914502472,72302.52700288275,1017651.1953204256,124479.04712861896,685148.5417690872,467864.98037866736
System,CY,0.07607154392669951,2.358678259341456,0.17922686201667853,2.4453396203908357,2.234983955990025,0.09956478106540752,0.35431331012692996,2.2387746610545816,4.802058670208587,0.00014917169655392652,7.6656487774993165,0.0013277476681119774,4.071325126856766,2.9237445667439843,0.26268913970324925,0.07392827107749211,0.49416227956709624,7.4192311606439185,0.9875417130609977,4.535192807499693,3.3505496325760182
System,CZ,9.402221892989349,752.774115445727,70.36068374461759,522.4484308167614,172.13701092855752,11.822383744653308,29.47426440507796,333.5086276281259,858.574433490024,0.04720053097072086,955.4120429825612,0.04944207963467447,1597.0108670338027,501.4609365071558,39.94198098983474,8.483642480918792,109.98689347532937,937.0163472800622,107.89962018778256,460.59808865055885,328.56006650926423
System,DE,105.07987112980328,22386.982212380375,1454.9255724998363,26397.598214066616,16506.750806781914,136.4890281396241,859.0465212210165,20910.565330924994,49746.81761904776,1.0339158831731678,56523.96226158606,0.42043011000221836,45113.64313783604,31944.762889496767,1885.1238753369887,100.80127090856402,3839.508442974289,51308.43365648185,10540.364133945017,42761.04198913697,29939.332721818773
System,DK,7.9418932517894465,379.80420629591504,45.609316437296556,677.122264830919,141.66954265950113,19.340542677478712,50.356302288532966,245.65159371611128,831.2545703673038,0.13691164115900803,766.4349256153287,0.6589824939896232,775.1718497627788,207.75475211146266,52.65852830897389,9.951660025967572,125.27940196379856,688.5542354360906,81.32491896268871,345.2798299956282,497.0078083354782
System,EE,0.14291968132016186,3.5728132482270256,0.3297652580598821,6.6124147721254305,1.4233628468228876,0.18459470367671205,0.3951985686461866,2.6492865922707223,8.873335266972898,0.004897469377908048,8.999686590411354,0.03244783229768756,8.897296471965197,2.9706191655247376,0.5349023728747927,0.1287531670414679,0.8928413568302788,8.89575849972348,0.856106212411506,5.099246758830421,4.044369095978767
System,ES,67.6536551775518,18487.18464307386,2032.3048278091303,16820.444285295966,2282.4154654733375,96.9447148886494,456.4009980172486,12599.714651168426,26328.700993607526,0.8902151916463337,26403.153510252872,1.855737976113983,43591.97684759888,14248.8208176943,2424.9792487794525,68.46109961907344,6201.091456224573,28642.179865644,3180.000381706444,16506.088435417492,8558.223375523065
