Bank,region,sector,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality,Total
System,AU,Health and social work (85),0,113.6747022,0,0,93.68025829,0,0,0,0,0,724.5188401,0,377.5115563,0,0,0,0,752.2031819,0,0,0,2061.588539
System,US,Manufacture of other non-metallic mineral products n.e.c.,0,0,0,0,201.6110391,0,0,0,0,0,710.1884723,0,0,283.117714,0,0,0,583.9856172,0,0,273.477253,2052.380096
System,WA,Manufacture of fish products,0,271.6843955,0,0,224.2419624,0,0,299.5006501,373.3175951,0,706.1142452,0,227.6754737,0,0,0,121.4088622,635.2479701,0,417.1615642,435.6611902,3712.013909
System,DE,Other service activities (93),0,325.2947202,0,0,167.6077294,0,0,0,0,0,702.93323,0,492.2084268,0,0,0,0,743.0602566,0,0,0,2431.104363
System,GB,Cattle farming,0,398.1027525,238.5916418,387.6344116,229.7049629,440.9495322,619.4693057,422.908101,502.6864684,0.805483648,694.5513363,0,237.6227786,273.1110009,289.6403476,121.7576817,512.8175179,600.9855197,132.1066051,474.9583988,573.5348699,7151.938716
System,CN,Hotels and restaurants (55),0,0,0,460.0763426,0,0,264.8163687,0,512.098018,0,694.0976056,0,313.8836775,0,0,0,0,351.8996449,95.96665782,0,200.3740535,2893.212369
System,US,Production of electricity by hydro,0,218.2570531,0,800.0033239,0,0,0,237.5510198,726.8400753,0,691.1748625,0,573.0885351,0,0,0,0,947.2513152,0,1116.923164,443.5925816,5754.681931
System,DE,"Manufacture of fabricated metal products, except machinery and equipment (28)",0,426.0685575,0,159.9651994,329.2969994,0,0,465.9300495,572.2122722,0,690.5224604,0,161.1727162,448.3423313,0,0,0,547.4557625,218.6404552,657.2073015,462.536636,5139.350741
System,CA,Production of electricity by hydro,0,220.1310083,0,944.7300667,0,0,0,234.6531266,857.7949771,0,688.1986778,0,776.6915593,0,0,0,0,944.2517293,0,1123.193332,487.6624644,6277.306942
System,US,Manufacture of glass and glass products,0,0,0,0,0,0,0,0,0,0,682.464651,0,0,0,0,0,0,561.1884112,0,661.708594,0,1905.361656
System,JP,"Manufacture of radio, television and communication equipment and apparatus (32)",0,0,0,0,379.1801121,0,0,0,0,0,680.1544292,0,0,0,0,0,0,588.7118702,0,0,0,1648.046412
System,FR,"Collection, purification and distribution of water (41)",0,393.6325222,218.932609,319.2180697,0,0,0,414.9954228,363.1458038,0,679.4336885,0,208.2286903,267.1823705,221.2158253,0,364.9091684,554.2520353,0,655.9935599,576.2353204,5237.375086
System,US,Cultivation of wheat,366.5636162,384.4925395,417.7887063,422.7977588,288.0494223,557.4996519,335.9928936,418.4817561,533.5157605,6.758332702,676.4490015,0,420.6589262,0,500.5756313,506.7601365,498.4464131,500.6175863,262.6935502,590.2883106,586.0911565,8274.52115
System,CA,Mining of other non-ferrous metal ores and concentrates,0,0,0,550.8843977,0,0,0,0,0,0,668.8293435,0,424.5927722,0,0,0,0,550.6054729,0,654.9486506,0,2849.860637
System,FR,Processing of Food products nec,0,252.0765652,0,0,207.2275684,0,0,265.7570572,348.8299684,0,652.6492379,0,200.0199554,0,0,0,116.8412727,532.4024619,0,378.0798958,415.1393459,3369.023329
System,US,"Forestry, logging and related service activities (02)",250.0970727,262.3295231,0,320.5157824,0,380.3678947,382.0657381,95.17316826,400.4047222,0,646.1336332,0,344.4059194,0,341.530077,307.3329851,302.2909914,569.264503,0,536.9850216,0,5138.897032
System,CA,"Manufacture of fabricated metal products, except machinery and equipment (28)",0,412.9146543,0,177.2094227,364.1044698,0,0,440.1547761,603.3840697,0,645.4504555,0,182.1116259,423.5529759,0,0,0,531.359093,201.1745064,632.0549614,457.3707708,5070.841781
System,NL,"Manufacture of fabricated metal products, except machinery and equipment (28)",0,408.0377531,0,149.7452275,305.399414,0,0,444.9255408,506.3103067,0,642.8826909,0,129.3601872,429.4236204,0,0,0,524.8892133,207.969545,626.623186,411.9253045,4787.491989
System,JP,Petroleum Refinery,0,312.8082591,0,258.1658584,0,0,0,329.1142874,864.4017454,0,640.9525112,0,533.5320947,0,0,0,0,554.7804077,0,0,674.3726706,4168.127834
System,NO,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0,395.2244941,0,464.7776525,0,0,0,425.5140163,450.348045,0,639.2244518,0,402.9456042,0,0,0,0,436.8204677,0,0,426.1067841,3640.961516
System,GB,Processing of meat pigs,0,242.169792,0,0,209.5976581,0,0,257.2591278,344.0127237,0,633.7535408,0,216.8223851,0,0,0,116.981964,548.3780408,0,371.4709271,392.49772,3332.94388
System,AU,Copper production,0,386.2085384,0,153.2099542,318.2776373,0,0,417.1591712,517.2750676,0,615.3861786,0,160.3239151,405.5107399,0,0,0,547.628991,199.0150109,598.3271784,399.2062576,4717.52864
System,GB,Manufacture of textiles (17),0,233.9558027,0,0,202.4884604,0,327.6430368,248.5333337,332.3443945,0,612.2576937,0,157.1011027,0,0,0,0,529.7779861,0,358.8712622,252.7899079,3255.762981
System,FR,Health and social work (85),0,97.25178968,0,0,79.94893092,0,0,0,0,0,604.3050266,0,308.6728609,0,0,0,0,575.1262844,0,0,0,1665.304892
System,NL,Manufacture of office machinery and computers (30),0,0,0,0,286.2115709,0,0,0,0,0,602.4912178,0,0,0,0,0,0,491.9111151,0,0,0,1380.613904
