Bank,service,statistic,p-value,z
Bank of America Corp,Water flow maintenance,6305356.0,1.1633428354744197e-68,
Bank of America Corp,Water quality,5903741.0,5.246619350809804e-58,
Bank of China Ltd,Animal-based energy,52160.0,1.6403236115286807e-07,
Bank of China Ltd,Bio-remediation,3337717.0,0.0,
Bank of China Ltd,Buffering and attenuation of mass flows,285981.0,8.856710196834414e-51,
Bank of China Ltd,Climate regulation,3633271.0,0.0,
Bank of China Ltd,Dilution by atmosphere and ecosystems,1898589.0,2.056173828838436e-243,
Bank of China Ltd,Disease control,178825.0,4.231629084224208e-34,
Bank of China Ltd,Fibres and other materials,324970.0,5.628411816719119e-58,
Bank of China Ltd,Filtration,4207260.0,0.0,
Bank of China Ltd,Flood and storm protection,3971890.0,0.0,
Bank of China Ltd,Genetic materials,245478.0,1.79739419654374e-50,
Bank of China Ltd,Ground water,8097042.0,0.0,
Bank of China Ltd,Maintain nursery habitats,3035.0,0.9999989500439149,
Bank of China Ltd,Mass stabilisation and erosion control,7225157.0,0.0,
Bank of China Ltd,Mediation of sensory impacts,740521.0,5.993934903792358e-126,
Bank of China Ltd,Pest control,383616.0,2.2245476557451215e-67,
Bank of China Ltd,Pollination,157933.0,2.919425436469892e-29,
Bank of China Ltd,Soil quality,789430.0,1.2414876785382866e-124,
Bank of China Ltd,Surface water,8096215.0,0.0,
Bank of China Ltd,Ventilation,811244.0,7.290047211227165e-133,
Bank of China Ltd,Water flow maintenance,3907597.0,0.0,
Bank of China Ltd,Water quality,3271216.0,0.0,
Bank of Communications Co Ltd,Animal-based energy,45880.0,2.5572515757169497e-18,
Bank of Communications Co Ltd,Bio-remediation,3365498.0,0.0,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,280086.0,2.704307157404939e-79,
Bank of Communications Co Ltd,Climate regulation,3642200.0,0.0,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,1891807.0,3.9916379417736614e-278,
Bank of Communications Co Ltd,Disease control,168938.0,1.855207457063651e-55,
Bank of Communications Co Ltd,Fibres and other materials,315556.0,3.7894187141986506e-87,
Bank of Communications Co Ltd,Filtration,4215205.0,0.0,
Bank of Communications Co Ltd,Flood and storm protection,3975103.0,0.0,
Bank of Communications Co Ltd,Genetic materials,233023.0,8.424467260781337e-72,
Bank of Communications Co Ltd,Ground water,8100535.0,0.0,
Bank of Communications Co Ltd,Maintain nursery habitats,1528.0,0.9873312147338003,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,7296075.0,0.0,
Bank of Communications Co Ltd,Mediation of sensory impacts,741068.0,4.250275060606892e-161,
Bank of Communications Co Ltd,Pest control,374695.0,3.0628703934422302e-99,
Bank of Communications Co Ltd,Pollination,148875.0,8.900878591718008e-50,
Bank of Communications Co Ltd,Soil quality,780895.0,5.180354184179265e-159,
Bank of Communications Co Ltd,Surface water,8104274.0,0.0,
Bank of Communications Co Ltd,Ventilation,805799.0,1.6863117761947447e-169,
Bank of Communications Co Ltd,Water flow maintenance,3904395.0,0.0,
Bank of Communications Co Ltd,Water quality,3266777.0,0.0,
Bank of New York Mellon Corp,Animal-based energy,1026036.0,1.0,
Bank of New York Mellon Corp,Bio-remediation,6131221.0,0.0052746868157409026,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,2181411.0,1.0,
Bank of New York Mellon Corp,Climate regulation,5755143.0,0.9910124673308948,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,5032969.0,0.999999999150417,
Bank of New York Mellon Corp,Disease control,1833300.0,1.0,
Bank of New York Mellon Corp,Fibres and other materials,2411886.0,1.0,
Bank of New York Mellon Corp,Filtration,6904009.0,6.300475318474225e-21,
Bank of New York Mellon Corp,Flood and storm protection,6394185.0,2.4537968213433257e-06,
Bank of New York Mellon Corp,Genetic materials,1630967.0,1.0,
Bank of New York Mellon Corp,Ground water,8846864.0,1.2347895395722645e-123,
Bank of New York Mellon Corp,Maintain nursery habitats,143764.0,1.0,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,7807898.0,4.47448717292039e-45,
Bank of New York Mellon Corp,Mediation of sensory impacts,3231467.0,1.0,
Bank of New York Mellon Corp,Pest control,2505974.0,1.0,
Bank of New York Mellon Corp,Pollination,1630865.0,1.0,
Bank of New York Mellon Corp,Soil quality,3327589.0,1.0,
Bank of New York Mellon Corp,Surface water,8775067.0,1.2408179247806472e-116,
Bank of New York Mellon Corp,Ventilation,3402602.0,1.0,
Bank of New York Mellon Corp,Water flow maintenance,6603179.0,1.36601684708703e-12,
Bank of New York Mellon Corp,Water quality,6355606.0,3.07348605097471e-08,
Barclays PLC,Animal-based energy,714279.0,1.0,
Barclays PLC,Bio-remediation,5045342.0,3.224337387709344e-93,
Barclays PLC,Buffering and attenuation of mass flows,1481569.0,1.0,
Barclays PLC,Climate regulation,5011110.0,9.321408189963348e-73,
Barclays PLC,Dilution by atmosphere and ecosystems,3748114.0,1.0442568905923324e-42,
Barclays PLC,Disease control,1215494.0,1.0,
Barclays PLC,Fibres and other materials,1580603.0,1.0,
Barclays PLC,Filtration,5949555.0,1.1276469312926356e-145,
Barclays PLC,Flood and storm protection,5509959.0,7.491431481454562e-121,
Barclays PLC,Genetic materials,1186927.0,1.0,
Barclays PLC,Ground water,8739705.0,0.0,
Barclays PLC,Maintain nursery habitats,219371.0,1.0,
Barclays PLC,Mass stabilisation and erosion control,7830753.0,3.3691085767746204e-241,
Barclays PLC,Mediation of sensory impacts,2265366.0,0.9995164456595448,
Barclays PLC,Pest control,1707988.0,1.0,
Barclays PLC,Pollination,1127632.0,1.0,
Barclays PLC,Soil quality,2370453.0,0.9348526082167811,
Barclays PLC,Surface water,8704968.0,3.01055023379076e-310,
Barclays PLC,Ventilation,2373835.0,0.82343790695403,
Barclays PLC,Water flow maintenance,5468407.0,1.139675214270752e-127,
Barclays PLC,Water quality,5044913.0,3.1614270138482985e-111,
China Construction Bank Corp,Animal-based energy,54206.0,9.02649632488648e-20,
China Construction Bank Corp,Bio-remediation,3395230.0,0.0,
China Construction Bank Corp,Buffering and attenuation of mass flows,299925.0,6.052152671978811e-81,
China Construction Bank Corp,Climate regulation,3649745.0,0.0,
China Construction Bank Corp,Dilution by atmosphere and ecosystems,1918873.0,3.611155565477041e-274,
China Construction Bank Corp,Disease control,184515.0,2.565497896926097e-57,
China Construction Bank Corp,Fibres and other materials,336838.0,3.0168591850027144e-88,
China Construction Bank Corp,Filtration,4260395.0,0.0,
China Construction Bank Corp,Flood and storm protection,4010422.0,0.0,
China Construction Bank Corp,Genetic materials,248064.0,9.690869002735785e-72,
China Construction Bank Corp,Ground water,8111779.0,0.0,
China Construction Bank Corp,Maintain nursery habitats,2586.0,0.9990224825168088,
China Construction Bank Corp,Mass stabilisation and erosion control,7290107.0,0.0,
China Construction Bank Corp,Mediation of sensory impacts,756085.0,6.775959516387879e-155,
China Construction Bank Corp,Pest control,398394.0,7.136623515086912e-101,
China Construction Bank Corp,Pollination,163391.0,1.8217948710220557e-51,
China Construction Bank Corp,Soil quality,814013.0,1.5058267180939824e-161,
China Construction Bank Corp,Surface water,8111539.0,0.0,
China Construction Bank Corp,Ventilation,825622.0,3.932771242031983e-162,
China Construction Bank Corp,Water flow maintenance,3912364.0,0.0,
China Construction Bank Corp,Water quality,3311981.0,0.0,
Citigroup Inc,Animal-based energy,418472.0,1.0,
Citigroup Inc,Bio-remediation,4230820.0,2.8776134329443414e-76,
Citigroup Inc,Buffering and attenuation of mass flows,996704.0,1.0,
Citigroup Inc,Climate regulation,4140258.0,2.406558542304827e-62,
Citigroup Inc,Dilution by atmosphere and ecosystems,3001058.0,1.1277067409875845e-37,
Citigroup Inc,Disease control,799238.0,1.0,
Citigroup Inc,Fibres and other materials,1090625.0,1.0,
Citigroup Inc,Filtration,5151555.0,3.045562878662009e-119,
Citigroup Inc,Flood and storm protection,4654886.0,1.408089677930369e-95,
Citigroup Inc,Genetic materials,868811.0,1.0,
Citigroup Inc,Ground water,8146378.0,1.0558666166119416e-283,
Citigroup Inc,Maintain nursery habitats,58173.0,1.0,
Citigroup Inc,Mass stabilisation and erosion control,7052359.0,1.3437661870034722e-204,
Citigroup Inc,Mediation of sensory impacts,1632702.0,0.9565342923359557,
Citigroup Inc,Pest control,1174419.0,1.0,
Citigroup Inc,Pollination,724618.0,1.0,
Citigroup Inc,Soil quality,1760670.0,0.9211457246711132,
Citigroup Inc,Surface water,8120073.0,5.596304645127776e-279,
Citigroup Inc,Ventilation,1713800.0,0.672368368833868,
Citigroup Inc,Water flow maintenance,4700906.0,8.336220325629831e-114,
Citigroup Inc,Water quality,4205477.0,4.708710497291877e-93,
Credite Agricole SA,Animal-based energy,270122.0,1.0,
Credite Agricole SA,Bio-remediation,3811143.0,2.5576354730727188e-123,
Credite Agricole SA,Buffering and attenuation of mass flows,681072.0,0.9999999582510315,
Credite Agricole SA,Climate regulation,3882531.0,1.7818522516056796e-110,
Credite Agricole SA,Dilution by atmosphere and ecosystems,2542167.0,3.6335359520822e-67,
Credite Agricole SA,Disease control,549917.0,0.9999999999867002,
Credite Agricole SA,Fibres and other materials,761773.0,0.995267589266186,
Credite Agricole SA,Filtration,4644047.0,3.586783268151622e-150,
Credite Agricole SA,Flood and storm protection,4394197.0,3.651113189226933e-155,
