Bank,service,statistic,p-value,z
Bank of China Ltd,Ground water,8107520.0,0.0,
Bank of China Ltd,Maintain nursery habitats,3029.0,0.9999990080085001,
Bank of China Ltd,Mass stabilisation and erosion control,7308391.0,0.0,
Bank of China Ltd,Mediation of sensory impacts,746726.0,1.6606785731627118e-112,
Bank of China Ltd,Pest control,381475.0,3.82013359525631e-66,
Bank of China Ltd,Pollination,157152.0,2.2393710209426947e-29,
Bank of China Ltd,Soil quality,785787.0,1.6308163372928865e-120,
Bank of China Ltd,Surface water,8106392.0,0.0,
Bank of China Ltd,Ventilation,814937.0,9.246207523966378e-122,
Bank of China Ltd,Water flow maintenance,3895206.0,0.0,
Bank of China Ltd,Water quality,3270601.0,0.0,
Bank of Communications Co Ltd,Animal-based energy,45845.0,3.0168279984403852e-18,
Bank of Communications Co Ltd,Bio-remediation,3374029.0,0.0,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,279595.0,1.8165115212520363e-79,
Bank of Communications Co Ltd,Climate regulation,3671151.0,0.0,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,1901281.0,9.53549430247664e-268,
Bank of Communications Co Ltd,Disease control,168829.0,2.707155665836778e-55,
Bank of Communications Co Ltd,Fibres and other materials,316294.0,2.030816273199866e-86,
Bank of Communications Co Ltd,Filtration,4232674.0,0.0,
Bank of Communications Co Ltd,Flood and storm protection,4009656.0,0.0,
Bank of Communications Co Ltd,Genetic materials,233027.0,5.067407337432521e-71,
Bank of Communications Co Ltd,Ground water,8155885.0,0.0,
Bank of Communications Co Ltd,Maintain nursery habitats,1524.0,0.9878403952738256,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,7351004.0,0.0,
Bank of Communications Co Ltd,Mediation of sensory impacts,745960.0,1.5981571647145665e-151,
Bank of Communications Co Ltd,Pest control,376771.0,2.0049759220155985e-97,
Bank of Communications Co Ltd,Pollination,148880.0,8.743102298754725e-50,
Bank of Communications Co Ltd,Soil quality,782729.0,6.455230425497655e-157,
Bank of Communications Co Ltd,Surface water,8155814.0,0.0,
Bank of Communications Co Ltd,Ventilation,810916.0,7.521350804249627e-160,
Bank of Communications Co Ltd,Water flow maintenance,3922000.0,0.0,
Bank of Communications Co Ltd,Water quality,3288058.0,0.0,
Bank of New York Mellon Corp,Animal-based energy,1079426.0,1.0,
Bank of New York Mellon Corp,Bio-remediation,7357257.0,1.0,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,2411031.0,1.0,
Bank of New York Mellon Corp,Climate regulation,7108202.0,1.0,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,5911129.0,1.0,
Bank of New York Mellon Corp,Disease control,1983041.0,1.0,
Bank of New York Mellon Corp,Fibres and other materials,2625556.0,1.0,
Bank of New York Mellon Corp,Filtration,8403505.0,0.999999616229274,
Bank of New York Mellon Corp,Flood and storm protection,7942892.0,0.9999999999996816,
Bank of New York Mellon Corp,Genetic materials,2027173.0,1.0,
Bank of New York Mellon Corp,Ground water,11613333.0,1.1272392230439526e-06,
Bank of New York Mellon Corp,Maintain nursery habitats,148972.0,1.0,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,10547846.0,0.044898918447005935,
Bank of New York Mellon Corp,Mediation of sensory impacts,3485712.0,1.0,
Bank of New York Mellon Corp,Pest control,2712439.0,1.0,
Bank of New York Mellon Corp,Pollination,1833568.0,1.0,
Bank of New York Mellon Corp,Soil quality,3911744.0,1.0,
Bank of New York Mellon Corp,Surface water,11547076.0,8.506926563476768e-06,
Bank of New York Mellon Corp,Ventilation,3736202.0,1.0,
Bank of New York Mellon Corp,Water flow maintenance,8008914.0,0.999999999363818,
Bank of New York Mellon Corp,Water quality,7645916.0,0.9999999999991273,
Barclays PLC,Animal-based energy,742920.0,1.0,
Barclays PLC,Bio-remediation,5941749.0,3.0894862660553514e-28,
Barclays PLC,Buffering and attenuation of mass flows,1597289.5,1.0,
Barclays PLC,Climate regulation,6067844.5,1.695227557135736e-21,
Barclays PLC,Dilution by atmosphere and ecosystems,4388001.0,3.5938188190525544e-08,
Barclays PLC,Disease control,1293799.5,1.0,
Barclays PLC,Fibres and other materials,1718303.5,1.0,
Barclays PLC,Filtration,6945548.0,1.343861676971205e-47,
Barclays PLC,Flood and storm protection,6629413.0,9.093031300556719e-39,
Barclays PLC,Genetic materials,1373719.0,1.0,
Barclays PLC,Ground water,10791997.0,1.8451637125785806e-125,
Barclays PLC,Maintain nursery habitats,223003.5,1.0,
Barclays PLC,Mass stabilisation and erosion control,9649806.0,1.2654747816327377e-100,
Barclays PLC,Mediation of sensory impacts,2473934.0,0.9999999999999984,
Barclays PLC,Pest control,1827285.5,1.0,
Barclays PLC,Pollination,1202256.5,1.0,
Barclays PLC,Soil quality,2690799.5,0.9999994767711441,
Barclays PLC,Surface water,10763086.0,5.180629984429262e-123,
Barclays PLC,Ventilation,2643363.0,0.9999999997245975,
Barclays PLC,Water flow maintenance,6594050.0,1.849052900154975e-40,
Barclays PLC,Water quality,6053696.0,3.806375981425179e-35,
China Construction Bank Corp,Animal-based energy,54472.0,2.7752544581261767e-19,
China Construction Bank Corp,Bio-remediation,3443945.0,0.0,
China Construction Bank Corp,Buffering and attenuation of mass flows,299552.0,1.0312825682847717e-79,
China Construction Bank Corp,Climate regulation,3730643.0,0.0,
China Construction Bank Corp,Dilution by atmosphere and ecosystems,1952011.0,7.460707934747292e-267,
China Construction Bank Corp,Disease control,185498.0,1.4580889979016063e-56,
China Construction Bank Corp,Fibres and other materials,339009.0,1.4572932619745952e-87,
China Construction Bank Corp,Filtration,4308447.0,0.0,
China Construction Bank Corp,Flood and storm protection,4075312.0,0.0,
China Construction Bank Corp,Genetic materials,251406.0,5.735155973787684e-70,
China Construction Bank Corp,Ground water,8258154.0,0.0,
China Construction Bank Corp,Maintain nursery habitats,2584.0,0.9990389991436921,
China Construction Bank Corp,Mass stabilisation and erosion control,7443040.0,0.0,
China Construction Bank Corp,Mediation of sensory impacts,777974.0,3.4167356127643965e-150,
China Construction Bank Corp,Pest control,400875.0,8.265293441530671e-98,
China Construction Bank Corp,Pollination,164377.0,7.815443144527439e-51,
China Construction Bank Corp,Soil quality,816560.0,2.6334923233695987e-157,
China Construction Bank Corp,Surface water,8257466.0,0.0,
China Construction Bank Corp,Ventilation,845098.0,3.8857813929566667e-159,
China Construction Bank Corp,Water flow maintenance,3993145.0,0.0,
China Construction Bank Corp,Water quality,3354077.0,0.0,
Citigroup Inc,Animal-based energy,429833.0,1.0,
Citigroup Inc,Bio-remediation,5005473.0,5.7493635629348e-29,
Citigroup Inc,Buffering and attenuation of mass flows,1076949.0,1.0,
Citigroup Inc,Climate regulation,5154368.0,1.1248150844437045e-22,
Citigroup Inc,Dilution by atmosphere and ecosystems,3516428.0,6.29458784697183e-09,
Citigroup Inc,Disease control,842299.0,1.0,
Citigroup Inc,Fibres and other materials,1170645.0,1.0,
Citigroup Inc,Filtration,6092799.0,2.848027722211566e-46,
Citigroup Inc,Flood and storm protection,5685250.0,5.3788105707628297e-39,
Citigroup Inc,Genetic materials,938813.0,1.0,
Citigroup Inc,Ground water,10056153.0,1.7121895713163583e-121,
Citigroup Inc,Maintain nursery habitats,58429.0,1.0,
Citigroup Inc,Mass stabilisation and erosion control,8769363.0,1.5130273319765522e-103,
Citigroup Inc,Mediation of sensory impacts,1819724.0,0.9999999999705086,
Citigroup Inc,Pest control,1261547.0,1.0,
Citigroup Inc,Pollination,769405.0,1.0,
Citigroup Inc,Soil quality,1988353.0,0.999916573149114,
Citigroup Inc,Surface water,10037263.0,7.86926928876645e-120,
Citigroup Inc,Ventilation,1954194.0,0.9999996271504875,
Citigroup Inc,Water flow maintenance,5654018.0,6.349192912879928e-39,
Citigroup Inc,Water quality,5102235.0,3.2583003985145755e-34,
Credite Agricole SA,Animal-based energy,268601.0,1.0,
Credite Agricole SA,Bio-remediation,4031075.0,1.0194063735786244e-55,
Credite Agricole SA,Buffering and attenuation of mass flows,703834.0,0.999999999656134,
Credite Agricole SA,Climate regulation,4144935.0,2.201828735090813e-50,
Credite Agricole SA,Dilution by atmosphere and ecosystems,2677176.0,1.971722225848308e-27,
Credite Agricole SA,Disease control,549800.0,0.999999999999998,
Credite Agricole SA,Fibres and other materials,778693.0,0.9999946755047606,
Credite Agricole SA,Filtration,4847146.0,2.3561574516808695e-78,
Credite Agricole SA,Flood and storm protection,4672841.0,2.1448988738649406e-71,
Credite Agricole SA,Genetic materials,623802.0,0.9999999999999919,
Credite Agricole SA,Ground water,8451896.0,1.9759460361760205e-169,
Credite Agricole SA,Maintain nursery habitats,37019.0,1.0,
Credite Agricole SA,Mass stabilisation and erosion control,7692324.0,9.423453148202599e-152,
Credite Agricole SA,Mediation of sensory impacts,1265285.0,0.8420420244755688,
Credite Agricole SA,Pest control,827328.0,0.9999994461636048,
Credite Agricole SA,Pollination,499449.0,1.0,
Credite Agricole SA,Soil quality,1386422.0,0.03576243326472163,
Credite Agricole SA,Surface water,8434757.0,2.720407796253967e-167,
Credite Agricole SA,Ventilation,1363532.0,0.28296578115261795,
Credite Agricole SA,Water flow maintenance,4563888.0,1.2667570299222758e-70,
Credite Agricole SA,Water quality,4060559.0,5.056522751978798e-63,
Deutsche Bank AG,Animal-based energy,1036985.0,1.0,
Deutsche Bank AG,Bio-remediation,6174963.0,1.0,
Deutsche Bank AG,Buffering and attenuation of mass flows,2143209.0,1.0,
Deutsche Bank AG,Climate regulation,5830414.0,1.0,
Deutsche Bank AG,Dilution by atmosphere and ecosystems,5068287.0,1.0,
Deutsche Bank AG,Disease control,1847954.0,1.0,
Deutsche Bank AG,Fibres and other materials,2368080.0,1.0,
Deutsche Bank AG,Filtration,6894570.0,1.0,
Deutsche Bank AG,Flood and storm protection,6626734.0,1.0,
Deutsche Bank AG,Genetic materials,1831475.0,1.0,
Deutsche Bank AG,Ground water,9514048.0,1.0,
Deutsche Bank AG,Maintain nursery habitats,153874.0,1.0,
Deutsche Bank AG,Mass stabilisation and erosion control,8831677.0,1.0,
Deutsche Bank AG,Mediation of sensory impacts,2948403.0,1.0,
Deutsche Bank AG,Pest control,2344067.0,1.0,
Deutsche Bank AG,Pollination,1682978.0,1.0,
Deutsche Bank AG,Soil quality,3360720.0,1.0,
Deutsche Bank AG,Surface water,9443635.0,1.0,
Deutsche Bank AG,Ventilation,3202028.0,1.0,
Deutsche Bank AG,Water flow maintenance,6618543.0,1.0,
Deutsche Bank AG,Water quality,6430240.0,1.0,
Goldman Sachs Group Inc,Animal-based energy,964897.0,1.0,
Goldman Sachs Group Inc,Bio-remediation,6224518.0,1.0,
Goldman Sachs Group Inc,Buffering and attenuation of mass flows,2064376.0,1.0,
Goldman Sachs Group Inc,Climate regulation,5972363.0,1.0,
Goldman Sachs Group Inc,Dilution by atmosphere and ecosystems,5062701.0,1.0,
Goldman Sachs Group Inc,Disease control,1736388.0,1.0,
Goldman Sachs Group Inc,Fibres and other materials,2261405.0,1.0,
Goldman Sachs Group Inc,Filtration,7042980.0,1.0,
Goldman Sachs Group Inc,Flood and storm protection,6721010.0,1.0,
Goldman Sachs Group Inc,Genetic materials,1758148.0,1.0,
Goldman Sachs Group Inc,Ground water,9832025.0,0.9999989150902774,
Goldman Sachs Group Inc,Maintain nursery habitats,141789.0,1.0,
Goldman Sachs Group Inc,Mass stabilisation and erosion control,9020353.0,0.999999999999717,
Goldman Sachs Group Inc,Mediation of sensory impacts,2960932.0,1.0,
Goldman Sachs Group Inc,Pest control,2298630.0,1.0,
Goldman Sachs Group Inc,Pollination,1584898.0,1.0,
Goldman Sachs Group Inc,Soil quality,3305161.0,1.0,
Goldman Sachs Group Inc,Surface water,9781866.0,0.99999979987463,
Goldman Sachs Group Inc,Ventilation,3183177.0,1.0,
Goldman Sachs Group Inc,Water flow maintenance,6742992.0,1.0,
Goldman Sachs Group Inc,Water quality,6485196.0,1.0,
Groupe BPCE,Animal-based energy,296827.0,1.0,
Groupe BPCE,Bio-remediation,3527398.0,1.3444046944732877e-19,
Groupe BPCE,Buffering and attenuation of mass flows,676951.0,1.0,
Groupe BPCE,Climate regulation,3591051.0,1.188199326370458e-16,
Groupe BPCE,Dilution by atmosphere and ecosystems,2353963.0,3.3777067190386657e-07,
Groupe BPCE,Disease control,573702.0,1.0,
Groupe BPCE,Fibres and other materials,769350.0,1.0,
Groupe BPCE,Filtration,4185326.0,1.9801380536232923e-33,
Groupe BPCE,Flood and storm protection,4003947.0,3.2745711352905066e-29,
Groupe BPCE,Genetic materials,640978.0,1.0,
Groupe BPCE,Ground water,7207194.0,8.89507468425277e-108,
Groupe BPCE,Maintain nursery habitats,42809.0,1.0,
Groupe BPCE,Mass stabilisation and erosion control,6696385.0,1.4918570560044483e-87,
Groupe BPCE,Mediation of sensory impacts,1114966.0,0.9999999999984907,
Groupe BPCE,Pest control,773501.0,1.0,
Groupe BPCE,Pollination,521325.0,1.0,
Groupe BPCE,Soil quality,1250403.0,0.9999538449667359,
Groupe BPCE,Surface water,7193011.0,2.9110581572674714e-106,
Groupe BPCE,Ventilation,1232316.0,0.9999996874090727,
Groupe BPCE,Water flow maintenance,3893999.0,8.00730486565429e-32,
Groupe BPCE,Water quality,3523108.0,2.2081561900095058e-26,
HSBC Holdings PLC,Animal-based energy,1036670.0,1.0,
HSBC Holdings PLC,Bio-remediation,6640215.0,1.0,
HSBC Holdings PLC,Buffering and attenuation of mass flows,2225435.0,1.0,
HSBC Holdings PLC,Climate regulation,6365099.0,1.0,
HSBC Holdings PLC,Dilution by atmosphere and ecosystems,5447270.0,1.0,
HSBC Holdings PLC,Disease control,1858296.0,1.0,
HSBC Holdings PLC,Fibres and other materials,2437098.0,1.0,
HSBC Holdings PLC,Filtration,7502468.0,1.0,
HSBC Holdings PLC,Flood and storm protection,7171149.0,1.0,
HSBC Holdings PLC,Genetic materials,1871821.0,1.0,
HSBC Holdings PLC,Ground water,10410669.0,0.9998842210619128,
HSBC Holdings PLC,Maintain nursery habitats,149130.0,1.0,
HSBC Holdings PLC,Mass stabilisation and erosion control,9500071.0,0.9999999999193584,
