Bank,service,statistic,p-value,z
Bank of America Corp,Water flow maintenance,9760411.0,2.3694288417369105e-203,
Bank of America Corp,Water quality,9770960.0,1.1297384037209955e-204,
Bank of China Ltd,Animal-based energy,12780561.0,0.0,
Bank of China Ltd,Bio-remediation,12772539.0,0.0,
Bank of China Ltd,Buffering and attenuation of mass flows,12776752.0,0.0,
Bank of China Ltd,Climate regulation,12771964.0,0.0,
Bank of China Ltd,Dilution by atmosphere and ecosystems,12775058.0,0.0,
Bank of China Ltd,Disease control,12779929.0,0.0,
Bank of China Ltd,Fibres and other materials,12776951.0,0.0,
Bank of China Ltd,Filtration,12773652.0,0.0,
Bank of China Ltd,Flood and storm protection,12772294.0,0.0,
Bank of China Ltd,Genetic materials,12784855.0,0.0,
Bank of China Ltd,Ground water,12773655.0,0.0,
Bank of China Ltd,Maintain nursery habitats,12781833.0,0.0,
Bank of China Ltd,Mass stabilisation and erosion control,12772485.0,0.0,
Bank of China Ltd,Mediation of sensory impacts,12773983.0,0.0,
Bank of China Ltd,Pest control,12776048.0,0.0,
Bank of China Ltd,Pollination,12780189.0,0.0,
Bank of China Ltd,Soil quality,12776116.0,0.0,
Bank of China Ltd,Surface water,12773606.0,0.0,
Bank of China Ltd,Ventilation,12774380.0,0.0,
Bank of China Ltd,Water flow maintenance,12774085.0,0.0,
Bank of China Ltd,Water quality,12773567.0,0.0,
Bank of Communications Co Ltd,Animal-based energy,12920062.0,0.0,
Bank of Communications Co Ltd,Bio-remediation,12916449.0,0.0,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,12918880.0,0.0,
Bank of Communications Co Ltd,Climate regulation,12916903.0,0.0,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,12917279.0,0.0,
Bank of Communications Co Ltd,Disease control,12919918.0,0.0,
Bank of Communications Co Ltd,Fibres and other materials,12918880.0,0.0,
Bank of Communications Co Ltd,Filtration,12917439.0,0.0,
Bank of Communications Co Ltd,Flood and storm protection,12916782.0,0.0,
Bank of Communications Co Ltd,Genetic materials,12920572.0,0.0,
Bank of Communications Co Ltd,Ground water,12917272.0,0.0,
Bank of Communications Co Ltd,Maintain nursery habitats,12917320.0,0.0,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,12916921.0,0.0,
Bank of Communications Co Ltd,Mediation of sensory impacts,12916707.0,0.0,
Bank of Communications Co Ltd,Pest control,12918771.0,0.0,
Bank of Communications Co Ltd,Pollination,12920069.0,0.0,
Bank of Communications Co Ltd,Soil quality,12918395.0,0.0,
Bank of Communications Co Ltd,Surface water,12917379.0,0.0,
Bank of Communications Co Ltd,Ventilation,12917056.0,0.0,
Bank of Communications Co Ltd,Water flow maintenance,12917480.0,0.0,
Bank of Communications Co Ltd,Water quality,12917309.0,0.0,
Bank of New York Mellon Corp,Animal-based energy,8709090.0,2.614288166321055e-93,
Bank of New York Mellon Corp,Bio-remediation,8685565.0,2.4490482327281015e-91,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,8733099.0,2.4155074965982772e-95,
Bank of New York Mellon Corp,Climate regulation,8661188.0,2.5668402776835416e-89,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,8673294.0,2.563994461910924e-90,
Bank of New York Mellon Corp,Disease control,8713668.0,1.0744175898140822e-93,
Bank of New York Mellon Corp,Fibres and other materials,8668143.0,6.84397481736982e-90,
Bank of New York Mellon Corp,Filtration,8723326.0,1.6360587163274922e-94,
Bank of New York Mellon Corp,Flood and storm protection,8668791.0,6.049571611124319e-90,
Bank of New York Mellon Corp,Genetic materials,8785265.0,7.687103897318876e-100,
Bank of New York Mellon Corp,Ground water,8694154.0,4.6950105189943103e-92,
Bank of New York Mellon Corp,Maintain nursery habitats,8706738.0,4.125170256802973e-93,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,8671463.0,3.635818200005479e-90,
Bank of New York Mellon Corp,Mediation of sensory impacts,8695455.0,3.6536449689451676e-92,
Bank of New York Mellon Corp,Pest control,8710472.0,1.9992153100440496e-93,
Bank of New York Mellon Corp,Pollination,8710994.0,1.8065042222135468e-93,
Bank of New York Mellon Corp,Soil quality,8713210.0,1.174477273548691e-93,
Bank of New York Mellon Corp,Surface water,8696459.0,3.0104672214979482e-92,
Bank of New York Mellon Corp,Ventilation,8679277.0,8.172635611215383e-91,
Bank of New York Mellon Corp,Water flow maintenance,8696003.0,3.2872454237434764e-92,
Bank of New York Mellon Corp,Water quality,8699271.0,1.749443514972849e-92,
Barclays PLC,Animal-based energy,10364823.0,4.750902095508377e-286,
Barclays PLC,Bio-remediation,10299927.0,1.722827030128768e-276,
Barclays PLC,Buffering and attenuation of mass flows,10432389.0,3.5491759586972734e-296,
Barclays PLC,Climate regulation,10301745.0,9.346955918081305e-277,
Barclays PLC,Dilution by atmosphere and ecosystems,10266950.0,1.0744705772663706e-271,
Barclays PLC,Disease control,10380960.0,1.88070447222099e-288,
Barclays PLC,Fibres and other materials,10330807.0,5.1037506773952675e-281,
Barclays PLC,Filtration,10309861.0,6.074734666614003e-278,
Barclays PLC,Flood and storm protection,10296440.0,5.562365213649575e-276,
Barclays PLC,Genetic materials,10400926.0,1.9400101159480087e-291,
Barclays PLC,Ground water,10272961.0,1.4465267887060068e-272,
Barclays PLC,Maintain nursery habitats,10414186.0,1.9761139770772588e-293,
Barclays PLC,Mass stabilisation and erosion control,10293086.0,1.715602910638564e-275,
Barclays PLC,Mediation of sensory impacts,10289396.0,5.916601427223525e-275,
Barclays PLC,Pest control,10390471.0,7.138319668063658e-290,
Barclays PLC,Pollination,10374284.0,1.8597811853353183e-287,
Barclays PLC,Soil quality,10379863.0,2.7413281807065208e-288,
Barclays PLC,Surface water,10275495.0,6.20557850884254e-273,
Barclays PLC,Ventilation,10277634.0,3.0362440933930137e-273,
Barclays PLC,Water flow maintenance,10261015.0,7.75665325195895e-271,
Barclays PLC,Water quality,10294174.0,1.1906593732654163e-275,
China Construction Bank Corp,Animal-based energy,12889601.0,0.0,
China Construction Bank Corp,Bio-remediation,12884711.0,0.0,
China Construction Bank Corp,Buffering and attenuation of mass flows,12886797.0,0.0,
China Construction Bank Corp,Climate regulation,12884927.0,0.0,
China Construction Bank Corp,Dilution by atmosphere and ecosystems,12886857.0,0.0,
China Construction Bank Corp,Disease control,12889529.0,0.0,
China Construction Bank Corp,Fibres and other materials,12887908.0,0.0,
China Construction Bank Corp,Filtration,12886045.0,0.0,
China Construction Bank Corp,Flood and storm protection,12885218.0,0.0,
China Construction Bank Corp,Genetic materials,12891271.0,0.0,
China Construction Bank Corp,Ground water,12885913.0,0.0,
China Construction Bank Corp,Maintain nursery habitats,12887517.0,0.0,
China Construction Bank Corp,Mass stabilisation and erosion control,12884864.0,0.0,
China Construction Bank Corp,Mediation of sensory impacts,12885781.0,0.0,
China Construction Bank Corp,Pest control,12886886.0,0.0,
China Construction Bank Corp,Pollination,12889564.0,0.0,
China Construction Bank Corp,Soil quality,12886489.0,0.0,
China Construction Bank Corp,Surface water,12885938.0,0.0,
China Construction Bank Corp,Ventilation,12886213.0,0.0,
China Construction Bank Corp,Water flow maintenance,12886383.0,0.0,
China Construction Bank Corp,Water quality,12886073.0,0.0,
Citigroup Inc,Animal-based energy,10475477.0,9.989804268866953e-303,
Citigroup Inc,Bio-remediation,10465344.0,3.5199931738934497e-301,
Citigroup Inc,Buffering and attenuation of mass flows,10527538.0,9.7409056225304e-311,
Citigroup Inc,Climate regulation,10445259.0,3.991045533202667e-298,
Citigroup Inc,Dilution by atmosphere and ecosystems,10457414.0,5.680886037612941e-300,
Citigroup Inc,Disease control,10475840.0,8.791530156136209e-303,
Citigroup Inc,Fibres and other materials,10462492.0,9.57704312126486e-301,
Citigroup Inc,Filtration,10479122.0,2.7676195126369626e-303,
Citigroup Inc,Flood and storm protection,10453635.0,2.1338433827039527e-299,
Citigroup Inc,Genetic materials,10588085.0,0.0,
Citigroup Inc,Ground water,10450683.0,5.994388494152696e-299,
Citigroup Inc,Maintain nursery habitats,10511596.0,2.8371603638717475e-308,
Citigroup Inc,Mass stabilisation and erosion control,10456372.0,8.183683277545443e-300,
Citigroup Inc,Mediation of sensory impacts,10468035.0,1.3680479666562376e-301,
Citigroup Inc,Pest control,10505908.0,2.1366524435871615e-307,
Citigroup Inc,Pollination,10475654.0,9.386404976923168e-303,
Citigroup Inc,Soil quality,10508660.0,8.047266679016364e-308,
Citigroup Inc,Surface water,10454725.0,1.4569406522667332e-299,
Citigroup Inc,Ventilation,10455282.0,1.1987793422468564e-299,
Citigroup Inc,Water flow maintenance,10454425.0,1.6182948873027068e-299,
Citigroup Inc,Water quality,10458993.0,3.26664756962456e-300,
Credite Agricole SA,Animal-based energy,11280740.0,0.0,
Credite Agricole SA,Bio-remediation,11181745.0,0.0,
Credite Agricole SA,Buffering and attenuation of mass flows,11242494.0,0.0,
Credite Agricole SA,Climate regulation,11173631.0,0.0,
Credite Agricole SA,Dilution by atmosphere and ecosystems,11189295.0,0.0,
Credite Agricole SA,Disease control,11309667.0,0.0,
Credite Agricole SA,Fibres and other materials,11262587.0,0.0,
Credite Agricole SA,Filtration,11180324.0,0.0,
Credite Agricole SA,Flood and storm protection,11179347.0,0.0,
Credite Agricole SA,Genetic materials,11438267.0,0.0,
Credite Agricole SA,Ground water,11170424.0,0.0,
Credite Agricole SA,Maintain nursery habitats,11372307.0,0.0,
Credite Agricole SA,Mass stabilisation and erosion control,11174784.0,0.0,
Credite Agricole SA,Mediation of sensory impacts,11160094.0,0.0,
Credite Agricole SA,Pest control,11207071.0,0.0,
Credite Agricole SA,Pollination,11294626.0,0.0,
Credite Agricole SA,Soil quality,11218703.0,0.0,
Credite Agricole SA,Surface water,11172086.0,0.0,
Credite Agricole SA,Ventilation,11173013.0,0.0,
Credite Agricole SA,Water flow maintenance,11170701.0,0.0,
Credite Agricole SA,Water quality,11187135.0,0.0,
Deutsche Bank AG,Animal-based energy,3553757.0,1.0,
Deutsche Bank AG,Bio-remediation,3520422.0,1.0,
Deutsche Bank AG,Buffering and attenuation of mass flows,3504639.0,1.0,
Deutsche Bank AG,Climate regulation,3514455.0,1.0,
Deutsche Bank AG,Dilution by atmosphere and ecosystems,3497962.0,1.0,
Deutsche Bank AG,Disease control,3577065.0,1.0,
Deutsche Bank AG,Fibres and other materials,3537961.0,1.0,
Deutsche Bank AG,Filtration,3503173.0,1.0,
Deutsche Bank AG,Flood and storm protection,3511460.0,1.0,
Deutsche Bank AG,Genetic materials,3623332.0,1.0,
Deutsche Bank AG,Ground water,3513443.0,1.0,
Deutsche Bank AG,Maintain nursery habitats,3660322.0,1.0,
Deutsche Bank AG,Mass stabilisation and erosion control,3528574.0,1.0,
Deutsche Bank AG,Mediation of sensory impacts,3499858.0,1.0,
Deutsche Bank AG,Pest control,3482010.0,1.0,
Deutsche Bank AG,Pollination,3564289.0,1.0,
Deutsche Bank AG,Soil quality,3495247.0,1.0,
Deutsche Bank AG,Surface water,3512709.0,1.0,
Deutsche Bank AG,Ventilation,3510774.0,1.0,
Deutsche Bank AG,Water flow maintenance,3507892.0,1.0,
Deutsche Bank AG,Water quality,3508126.0,1.0,
Goldman Sachs Group Inc,Animal-based energy,4172197.0,1.0,
Goldman Sachs Group Inc,Bio-remediation,4481945.0,1.0,
Goldman Sachs Group Inc,Buffering and attenuation of mass flows,4408798.0,1.0,
Goldman Sachs Group Inc,Climate regulation,4435145.0,1.0,
Goldman Sachs Group Inc,Dilution by atmosphere and ecosystems,4375964.0,1.0,
Goldman Sachs Group Inc,Disease control,4183264.0,1.0,
Goldman Sachs Group Inc,Fibres and other materials,4269168.0,1.0,
Goldman Sachs Group Inc,Filtration,4505174.0,1.0,
Goldman Sachs Group Inc,Flood and storm protection,4446038.0,1.0,
Goldman Sachs Group Inc,Genetic materials,4371252.0,1.0,
Goldman Sachs Group Inc,Ground water,4449765.0,1.0,
Goldman Sachs Group Inc,Maintain nursery habitats,4374194.0,1.0,
Goldman Sachs Group Inc,Mass stabilisation and erosion control,4461350.0,1.0,
Goldman Sachs Group Inc,Mediation of sensory impacts,4501767.0,1.0,
