Bank,service,statistic,p-value,z
Bank of America Corp,Water flow maintenance,9756087.0,8.22509694430743e-203,
Bank of America Corp,Water quality,9768190.0,2.514460727967454e-204,
Bank of China Ltd,Animal-based energy,12780224.0,0.0,
Bank of China Ltd,Bio-remediation,12772235.0,0.0,
Bank of China Ltd,Buffering and attenuation of mass flows,12775949.0,0.0,
Bank of China Ltd,Climate regulation,12771937.0,0.0,
Bank of China Ltd,Dilution by atmosphere and ecosystems,12774658.0,0.0,
Bank of China Ltd,Disease control,12779693.0,0.0,
Bank of China Ltd,Fibres and other materials,12776338.0,0.0,
Bank of China Ltd,Filtration,12773253.0,0.0,
Bank of China Ltd,Flood and storm protection,12772127.0,0.0,
Bank of China Ltd,Genetic materials,12785286.0,0.0,
Bank of China Ltd,Ground water,12773193.0,0.0,
Bank of China Ltd,Maintain nursery habitats,12781778.0,0.0,
Bank of China Ltd,Mass stabilisation and erosion control,12772341.0,0.0,
Bank of China Ltd,Mediation of sensory impacts,12773574.0,0.0,
Bank of China Ltd,Pest control,12775760.0,0.0,
Bank of China Ltd,Pollination,12779970.0,0.0,
Bank of China Ltd,Soil quality,12775521.0,0.0,
Bank of China Ltd,Surface water,12773223.0,0.0,
Bank of China Ltd,Ventilation,12774028.0,0.0,
Bank of China Ltd,Water flow maintenance,12773644.0,0.0,
Bank of China Ltd,Water quality,12773032.0,0.0,
Bank of Communications Co Ltd,Animal-based energy,12920054.0,0.0,
Bank of Communications Co Ltd,Bio-remediation,12916601.0,0.0,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,12918611.0,0.0,
Bank of Communications Co Ltd,Climate regulation,12917000.0,0.0,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,12917302.0,0.0,
Bank of Communications Co Ltd,Disease control,12919952.0,0.0,
Bank of Communications Co Ltd,Fibres and other materials,12918644.0,0.0,
Bank of Communications Co Ltd,Filtration,12917449.0,0.0,
Bank of Communications Co Ltd,Flood and storm protection,12916823.0,0.0,
Bank of Communications Co Ltd,Genetic materials,12920746.0,0.0,
Bank of Communications Co Ltd,Ground water,12917301.0,0.0,
Bank of Communications Co Ltd,Maintain nursery habitats,12917331.0,0.0,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,12916955.0,0.0,
Bank of Communications Co Ltd,Mediation of sensory impacts,12916675.0,0.0,
Bank of Communications Co Ltd,Pest control,12918628.0,0.0,
Bank of Communications Co Ltd,Pollination,12920109.0,0.0,
Bank of Communications Co Ltd,Soil quality,12918174.0,0.0,
Bank of Communications Co Ltd,Surface water,12917394.0,0.0,
Bank of Communications Co Ltd,Ventilation,12917022.0,0.0,
Bank of Communications Co Ltd,Water flow maintenance,12917363.0,0.0,
Bank of Communications Co Ltd,Water quality,12917310.0,0.0,
Bank of New York Mellon Corp,Animal-based energy,8710071.0,2.161070682241497e-93,
Bank of New York Mellon Corp,Bio-remediation,8690898.0,8.788552093868432e-92,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,8724820.0,1.2219002259395572e-94,
Bank of New York Mellon Corp,Climate regulation,8667981.0,7.058327462026294e-90,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,8672262.0,3.1219561186899976e-90,
Bank of New York Mellon Corp,Disease control,8714710.0,8.773257774141773e-94,
Bank of New York Mellon Corp,Fibres and other materials,8665628.0,1.1043888895640867e-89,
Bank of New York Mellon Corp,Filtration,8727087.0,7.843675037689187e-95,
