Bank,service,statistic,p-value,z
Bank of China Ltd,Animal-based energy,26.0,0.9999549988399926,
Bank of China Ltd,Bio-remediation,148.0,0.8376940944259639,
Bank of China Ltd,Buffering and attenuation of mass flows,82.0,0.9949249719199075,
Bank of China Ltd,Climate regulation,137.0,0.8942223065747286,
Bank of China Ltd,Dilution by atmosphere and ecosystems,137.0,0.8942223065747286,
Bank of China Ltd,Disease control,26.0,0.9999549988399926,
Bank of China Ltd,Fibres and other materials,43.0,0.9997739581734749,
Bank of China Ltd,Filtration,129.0,0.9252782529087251,
Bank of China Ltd,Flood and storm protection,162.0,0.7417257579267487,
Bank of China Ltd,Genetic materials,89.0,0.99185828050508,
Bank of China Ltd,Ground water,165.0,0.7178951423330618,
Bank of China Ltd,Maintain nursery habitats,0.0,0.9999971969417363,
Bank of China Ltd,Mass stabilisation and erosion control,267.0,0.03046866383319906,
Bank of China Ltd,Mediation of sensory impacts,112.0,0.9678378144430121,
Bank of China Ltd,Pest control,74.0,0.9971352638000422,
Bank of China Ltd,Pollination,26.0,0.9999549988399926,
Bank of China Ltd,Soil quality,150.0,0.8256142811265977,
Bank of China Ltd,Surface water,154.0,0.799791007663087,
Bank of China Ltd,Ventilation,56.0,0.9993016323841443,
Bank of China Ltd,Water flow maintenance,132.0,0.9145667591429921,
Bank of China Ltd,Water quality,164.0,0.7259551002842383,
Bank of Communications Co Ltd,Animal-based energy,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Bio-remediation,20.0,0.9319513094428031,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Climate regulation,16.0,0.9644053828539552,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,26.0,0.8460892640455786,
Bank of Communications Co Ltd,Disease control,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Fibres and other materials,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Filtration,40.0,0.4687364611812376,
Bank of Communications Co Ltd,Flood and storm protection,29.0,0.7836162096661077,
Bank of Communications Co Ltd,Genetic materials,9.0,0.9906985350494322,
Bank of Communications Co Ltd,Ground water,34.0,0.6525566988137633,
Bank of Communications Co Ltd,Maintain nursery habitats,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,41.0,0.437664624573961,
Bank of Communications Co Ltd,Mediation of sensory impacts,45.0,0.3189350899489728,
Bank of Communications Co Ltd,Pest control,27.0,0.8267391441469464,
Bank of Communications Co Ltd,Pollination,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Soil quality,28.0,0.8059067973958611,
Bank of Communications Co Ltd,Surface water,34.0,0.6525566988137633,
Bank of Communications Co Ltd,Ventilation,22.0,0.9088308229096158,
