Geography,exiobase_region
Australia,AU
Canada,CA
Denmark,DK
Finland,FI
France,FR
Germany,DE
Ireland,IE
Japan,JP
South Korea,KR
Luxembourg,LU
Netherlands,NL
Norway,NO
Sweden,SE
United Kingdom,GB
United States of America,US
